plate_barcode, layout_type, well_row, well_column, xk_sample_id, concentration, concentration_units, volume, volume_units, solvent
plate_0000106,c13d10,k,9,XK00001548,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,k,10,XK00001548,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,k,11,XK00001548,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,k,12,XK00001548,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,k,13,,,,20,uL,dmso
plate_0000106,c13d10,k,14,,,,20,uL,dmso
plate_0000106,c13d10,k,15,,,,20,uL,dmso
plate_0000106,c13d10,k,16,,,,20,uL,dmso
plate_0000106,c13d10,k,17,,,,20,uL,dmso
plate_0000106,c13d10,k,18,,,,20,uL,dmso
plate_0000106,c13d10,k,19,,,,20,uL,dmso
plate_0000106,c13d10,k,20,,,,20,uL,dmso
plate_0000106,c13d10,k,21,,,,20,uL,dmso
plate_0000106,c13d10,k,22,,,,,,
plate_0000106,c13d10,k,23,,,,,,
plate_0000106,c13d10,k,24,,,,,,
plate_0000106,c13d10,l,1,,,,,,
plate_0000106,c13d10,l,2,,,,,,
plate_0000106,c13d10,l,3,XK00001546,10,mM,20,uL,dmso
plate_0000106,c13d10,l,4,XK00001546,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,l,5,XK00001546,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,l,6,XK00001546,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,l,7,XK00001546,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,l,8,XK00001546,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,l,9,XK00001546,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,l,10,XK00001546,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,l,11,XK00001546,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,l,12,XK00001546,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,l,13,,,,20,uL,dmso
plate_0000106,c13d10,l,14,,,,20,uL,dmso
plate_0000106,c13d10,l,15,,,,20,uL,dmso
plate_0000106,c13d10,l,16,,,,20,uL,dmso
plate_0000106,c13d10,l,17,,,,20,uL,dmso
plate_0000106,c13d10,l,18,,,,20,uL,dmso
plate_0000106,c13d10,l,19,,,,20,uL,dmso
plate_0000106,c13d10,l,20,,,,20,uL,dmso
plate_0000106,c13d10,l,21,,,,20,uL,dmso
plate_0000106,c13d10,l,22,,,,,,
plate_0000106,c13d10,l,23,,,,,,
plate_0000106,c13d10,l,24,,,,,,
plate_0000106,c13d10,m,1,,,,,,
plate_0000106,c13d10,m,2,,,,,,
plate_0000106,c13d10,m,3,XK00001549,10,mM,20,uL,dmso
plate_0000106,c13d10,m,4,XK00001549,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,m,5,XK00001549,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,m,6,XK00001549,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,m,7,XK00001549,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,m,8,XK00001549,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,m,9,XK00001549,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,m,10,XK00001549,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,m,11,XK00001549,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,m,12,XK00001549,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,m,13,,,,20,uL,dmso
plate_0000106,c13d10,m,14,,,,20,uL,dmso
plate_0000106,c13d10,m,15,,,,20,uL,dmso
plate_0000106,c13d10,m,16,,,,20,uL,dmso
plate_0000106,c13d10,m,17,,,,20,uL,dmso
plate_0000106,c13d10,m,18,,,,20,uL,dmso
plate_0000106,c13d10,m,19,,,,20,uL,dmso
plate_0000106,c13d10,m,20,,,,20,uL,dmso
plate_0000106,c13d10,m,21,,,,20,uL,dmso
plate_0000106,c13d10,m,22,,,,,,
plate_0000106,c13d10,m,23,,,,,,
plate_0000106,c13d10,m,24,,,,,,
plate_0000106,c13d10,n,1,,,,,,
plate_0000106,c13d10,n,2,,,,,,
plate_0000106,c13d10,n,3,XK00001550,10,mM,20,uL,dmso
plate_0000106,c13d10,n,4,XK00001550,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,n,5,XK00001550,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,n,6,XK00001550,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,n,7,XK00001550,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,n,8,XK00001550,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,n,9,XK00001550,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,n,10,XK00001550,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,n,11,XK00001550,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,n,12,XK00001550,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,n,13,,,,20,uL,dmso
plate_0000106,c13d10,n,14,,,,20,uL,dmso
plate_0000106,c13d10,n,15,,,,20,uL,dmso
plate_0000106,c13d10,n,16,,,,20,uL,dmso
plate_0000106,c13d10,n,17,,,,20,uL,dmso
plate_0000106,c13d10,n,18,,,,20,uL,dmso
plate_0000106,c13d10,n,19,,,,20,uL,dmso
plate_0000106,c13d10,n,20,,,,20,uL,dmso
plate_0000106,c13d10,n,21,,,,20,uL,dmso
plate_0000106,c13d10,n,22,,,,,,
plate_0000106,c13d10,n,23,,,,,,
plate_0000106,c13d10,n,24,,,,,,
plate_0000106,c13d10,o,1,,,,,,
plate_0000106,c13d10,o,2,,,,,,
plate_0000106,c13d10,o,3,,,,20,uL,dmso
plate_0000106,c13d10,o,4,,,,20,uL,dmso
plate_0000106,c13d10,o,5,,,,20,uL,dmso
plate_0000106,c13d10,o,6,,,,20,uL,dmso
plate_0000106,c13d10,o,7,,,,20,uL,dmso
plate_0000106,c13d10,o,8,,,,20,uL,dmso
plate_0000106,c13d10,o,9,,,,20,uL,dmso
plate_0000106,c13d10,o,10,,,,20,uL,dmso
plate_0000106,c13d10,o,11,,,,20,uL,dmso
plate_0000106,c13d10,o,12,,,,20,uL,dmso
plate_0000106,c13d10,o,13,,,,20,uL,dmso
plate_0000106,c13d10,o,14,,,,20,uL,dmso
plate_0000106,c13d10,o,15,,,,20,uL,dmso
plate_0000106,c13d10,o,16,,,,20,uL,dmso
plate_0000106,c13d10,o,17,,,,20,uL,dmso
plate_0000106,c13d10,o,18,,,,20,uL,dmso
plate_0000106,c13d10,o,19,,,,20,uL,dmso
plate_0000106,c13d10,o,20,,,,20,uL,dmso
plate_0000106,c13d10,o,21,,,,20,uL,dmso
plate_0000106,c13d10,o,22,,,,20,uL,dmso
plate_0000106,c13d10,o,23,,,,,,
plate_0000106,c13d10,o,24,,,,,,
plate_0000106,c13d10,p,1,,,,,,
plate_0000106,c13d10,p,2,,,,,,
plate_0000106,c13d10,p,3,,,,20,uL,dmso
plate_0000106,c13d10,p,4,,,,20,uL,dmso
plate_0000106,c13d10,p,5,,,,20,uL,dmso
plate_0000106,c13d10,p,6,,,,20,uL,dmso
plate_0000106,c13d10,p,7,,,,20,uL,dmso
